epic,session,is_index,rec_reason,rec_pnl,new_pnl,rec_R,new_R,changed,new_reason,win_to_loss,loser_saved,was_hardstop
DE40,Asia,True,Z-score midline,-39.6,-106.5,-0.7658302131680796,-2.059619133899002,True,stopcap,False,False,False
DE40,Overlap,True,Z-score midline,45.6,45.6,0.44055259481148074,0.44055259481148074,False,Z-score midline,False,False,False
DE40,Overlap,True,Session close (no bar at threshold),-85.6,-85.6,-0.6825935136498519,-0.6825935136498519,False,Session close (no bar at threshold),False,False,False
DE40,Asia,True,Z-score midline,-52.3,-71.8,-0.7656441749361745,-1.0511138003903888,True,stopcap,False,False,False
DE40,Asia,True,Z-score midline,-10.0,-10.0,-0.2156154886378614,-0.2156154886378614,False,Z-score midline,False,False,False
DE40,Asia,True,Z-score midline,10.5,10.5,0.23724672846119935,0.23724672846119935,False,Z-score midline,False,False,False
DE40,Asia,True,Z-score midline,20.3,20.3,0.4204505548887345,0.4204505548887345,False,Z-score midline,False,False,False
DE40,Overlap,True,Z-score midline,68.0,68.0,0.8582103855498369,0.8582103855498369,False,Z-score midline,False,False,False
DE40,Overlap,True,Z-score midline,104.0,104.0,1.0444585238443747,1.0444585238443747,False,Z-score midline,False,False,False
DE40,Asia,True,Z-score midline,18.8,18.8,0.28076951618404367,0.28076951618404367,False,Z-score midline,False,False,False
DE40,London,True,Z-score midline,-3.5,-84.0,-0.04260533430449467,-1.022528023307872,True,stopcap,False,False,False
DE40,Asia,True,Z-score midline,20.0,20.0,0.4431313034308202,0.4431313034308202,False,Z-score midline,False,False,False
DE40,Asia,True,Z-score midline,15.0,15.0,0.4356871860719036,0.4356871860719036,False,Z-score midline,False,False,False
DE40,Asia,True,Z-score midline,58.1,58.1,1.0350865003878436,1.0350865003878436,False,Z-score midline,False,False,False
DE40,Overlap,True,Z-score midline,-9.2,-69.9,-0.14468587208486972,-1.0992980933404777,True,stopcap,False,False,False
DE40,Asia,True,Z-score midline,23.0,23.0,0.5570831570603599,0.5570831570603599,False,Z-score midline,False,False,False
DE40,Asia,True,Z-score midline,-7.3,-35.0,-0.229077363803251,-1.0983161278238063,True,stopcap,False,False,False
DE40,Asia,True,Z-score midline,15.3,15.3,0.47087191889472757,0.47087191889472757,False,Z-score midline,False,False,False
DE40,London,True,Z-score midline,0.5,-62.5,0.009960080569602658,-1.2450100712003322,True,stopcap,True,False,False
DE40,Asia,True,Z-score midline,10.3,10.3,0.34749530854150384,0.34749530854150384,False,Z-score midline,False,False,False
DE40,Asia,True,Z-score midline,24.5,24.5,0.5852115282573432,0.5852115282573432,False,Z-score midline,False,False,False
DE40,London,True,Z-score midline,18.7,18.7,0.41030176164383014,0.41030176164383014,False,Z-score midline,False,False,False
DE40,NY,True,Z-score midline,48.0,48.0,0.6401094540192728,0.6401094540192728,False,Z-score midline,False,False,False
DE40,London,True,Z-score midline,-78.2,-81.3,-0.9895917856481589,-1.028821127534467,True,stopcap,False,False,False
DE40,Overlap,True,Z-score midline,-7.7,-7.7,-0.10833150620353281,-0.10833150620353281,False,Z-score midline,False,False,False
DE40,Asia,True,Z-score midline,-21.2,-21.2,-0.5002560005516345,-0.5002560005516345,False,Z-score midline,False,False,False
DE40,Asia,True,Z-score midline,11.5,-49.5,0.23349397974971575,-1.005039304140081,True,stopcap,True,False,False
DE40,Overlap,True,Z-score midline,25.5,25.5,0.40107288419121345,0.40107288419121345,False,Z-score midline,False,False,False
DE40,NY,True,Z-score midline,5.4,5.4,0.10773117925436172,0.10773117925436172,False,Z-score midline,False,False,False
DE40,Asia,True,Z-score midline,13.5,13.5,0.40804991584889483,0.40804991584889483,False,Z-score midline,False,False,False
DE40,Asia,True,Z-score midline,-63.5,-36.5,-1.8329508660165905,-1.05358593085993,True,stopcap,False,True,False
DE40,London,True,Z-score midline,30.0,30.0,0.472111609866305,0.472111609866305,False,Z-score midline,False,False,False
DE40,Asia,True,Z-score midline,-60.3,-33.5,-2.1764548479763226,-1.209141582209068,True,stopcap,False,True,False
DE40,London,True,Z-score midline,32.0,32.0,0.6021416902673926,0.6021416902673926,False,Z-score midline,False,False,False
DE40,Asia,True,Z-score midline,-184.2,-33.3,-6.042927005640502,-1.0924509733324035,True,stopcap,False,True,False
DE40,London,True,Z-score midline,-129.9,-59.5,-2.543632961973282,-1.1650974691101639,True,stopcap,False,True,False
DE40,Asia,True,Z-score midline,27.0,27.0,0.609032742254393,0.609032742254393,False,Z-score midline,False,False,False
DE40,London,True,Z-score midline,9.0,9.0,0.16018991418654704,0.16018991418654704,False,Z-score midline,False,False,False
DE40,Asia,True,Z-score midline,-6.0,-6.0,-0.1502872774270687,-0.1502872774270687,False,Z-score midline,False,False,False
DE40,Asia,True,Z-score midline,25.5,25.5,0.6931821198229178,0.6931821198229178,False,Z-score midline,False,False,False
DE40,London,True,Z-score midline,220.0,131.0,4.540546260568108,2.7036889097019188,True,tp_rr,False,False,False
DE40,Asia,True,Z-score midline,29.4,29.4,0.5091507206219275,0.5091507206219275,False,Z-score midline,False,False,False
DE40,London,True,Z-score midline,-45.2,-79.1,-0.654862035053087,-1.146008561342902,True,stopcap,False,False,False
DE40,Overlap,True,Z-score midline,48.0,48.0,0.5640514989356565,0.5640514989356565,False,Z-score midline,False,False,False
