strategy,epic,n,win_pct,pf,expectancy_per_trade,expectancy_ratio,avg_spread,scope,session
momentum,EURUSD,216.0000,0.4074,0.8498,-0.0001,-1.1306,0.0001,all-session,
mean_reversion,DE40,1638.0000,0.6459,0.9450,-1.2907,-1.2907,1.0000,all-session,
orb,EURUSD,763.0000,0.3316,0.8643,-0.0001,-1.3104,0.0001,all-session,
orb,EURUSD,761.0000,0.3311,0.8632,-0.0001,-1.3240,0.0001,per-session,London
mean_reversion,EURGBP,68.0000,0.5735,0.7281,-0.0001,-1.4368,0.0001,per-session,Asia
mean_reversion,EURGBP,73.0000,0.5753,0.6117,-0.0001,-1.4507,0.0001,per-session,NY
mean_reversion,US500,241.0000,0.5602,0.8714,-0.7710,-1.5419,0.5000,per-session,NY
orb,GBPUSD,775.0000,0.3523,0.8715,-0.0002,-1.5735,0.0001,per-session,London
orb,GBPUSD,775.0000,0.3523,0.8715,-0.0002,-1.5735,0.0001,all-session,
mean_reversion,USDJPY,307.0000,0.5928,0.8608,-0.0162,-1.6179,0.0100,per-session,Overlap
mean_reversion,GOLD,1741.0000,0.6404,0.8628,-0.6091,-1.7402,0.3500,all-session,
momentum,EURGBP,70.0000,0.3286,0.6535,-0.0002,-1.7814,0.0001,per-session,London
momentum,GBPUSD,56.0000,0.5357,0.7373,-0.0002,-1.9446,0.0001,per-session,NY
momentum,GBPUSD,213.0000,0.4319,0.7812,-0.0002,-2.0873,0.0001,all-session,
momentum,GBPUSD,67.0000,0.4179,0.7960,-0.0002,-2.1045,0.0001,per-session,Overlap
mean_reversion,USDJPY,435.0000,0.5908,0.7812,-0.0261,-2.6083,0.0100,per-session,London
mean_reversion,UK100,127.0000,0.6929,0.7576,-2.7457,-2.7457,1.0000,per-session,London
momentum,US500,83.0000,0.4458,0.8486,-1.4133,-2.8265,0.5000,per-session,Overlap
mean_reversion,GOLD,805.0000,0.6348,0.7348,-1.1300,-3.2286,0.3500,per-session,Asia
momentum,GOLD,287.0000,0.3659,0.8240,-1.1798,-3.3708,0.3500,all-session,
momentum,GBPUSD,68.0000,0.3382,0.6893,-0.0003,-3.4221,0.0001,per-session,London
momentum,DE40,39.0000,0.4872,0.8746,-4.0769,-4.0769,1.0000,per-session,NY
momentum,EURUSD,71.0000,0.3380,0.4839,-0.0004,-4.3014,0.0001,per-session,London
mean_reversion,GOLD,336.0000,0.5982,0.7549,-1.5362,-4.3892,0.3500,per-session,Overlap
momentum,GOLD,60.0000,0.4000,0.6908,-2.0188,-5.7681,0.3500,per-session,NY
mean_reversion,DE40,156.0000,0.6154,0.7334,-6.0353,-6.0353,1.0000,per-session,NY
momentum,USDJPY,49.0000,0.3673,0.5301,-0.0689,-6.8939,0.0100,per-session,NY
momentum,USDJPY,56.0000,0.3571,0.5850,-0.0732,-7.3196,0.0100,per-session,Overlap
mean_reversion,UK100,93.0000,0.5161,0.5085,-7.4280,-7.4280,1.0000,per-session,Overlap
mean_reversion,DE40,316.0000,0.6044,0.7448,-7.5386,-7.5386,1.0000,per-session,London
momentum,GOLD,77.0000,0.3636,0.3991,-4.0066,-11.4475,0.3500,per-session,Overlap
momentum,DE40,57.0000,0.3684,0.6551,-15.5860,-15.5860,1.0000,per-session,Asia
